source_id,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,final_audit_status,final_audit_note
S-233,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-234,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-235,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-236,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-237,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-238,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-239,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-240,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-241,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-242,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-243,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-244,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-245,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-246,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-247,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-248,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-249,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-250,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-251,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-252,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-253,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-254,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-255,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-256,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-257,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-258,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-259,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-260,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-261,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-262,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-263,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-264,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-265,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-266,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-267,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-268,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-269,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-270,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-271,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-272,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-273,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-274,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-275,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-276,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-277,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-278,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-279,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-280,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-281,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-282,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-283,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-284,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-285,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-286,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-287,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-288,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-289,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-290,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-291,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-292,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-293,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-294,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-295,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-296,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-297,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-298,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-299,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,covered,Covered by processed transcript region.
S-300,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,covered,Covered by processed transcript region.
S-301,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-302,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-303,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-304,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-305,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-306,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-307,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-308,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-309,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,covered,Covered by processed transcript region.
S-310,processed-in-r03a-v001,R03A,yes-for-r03a-v001-boundary,no-for-r03a-v001,covered,Covered by processed transcript region.
S-311,processed-in-r04-v001,R04,yes-for-r04-v001-boundary,no-for-r04-v001,covered,Covered by processed transcript region.
S-312,processed-in-r04-v001,R04,yes-for-r04-v001-boundary,no-for-r04-v001,covered,Covered by processed transcript region.
S-313,processed-in-r04-v001,R04,yes-for-r04-v001-boundary,no-for-r04-v001,covered,Covered by processed transcript region.
S-314,processed-in-r04-v001,R04,yes-for-r04-v001-boundary,no-for-r04-v001,covered,Covered by processed transcript region.
S-315,processed-in-r04-v001,R04,yes-for-r04-v001-boundary,no-for-r04-v001,covered,Covered by processed transcript region.
S-316,processed-in-r04-v001,R04,yes-for-r04-v001-boundary,no-for-r04-v001,covered,Covered by processed transcript region.
S-317,processed-in-r04-v001,R04,yes-for-r04-v001-boundary,no-for-r04-v001,covered,Covered by processed transcript region.
S-318,processed-in-r04-v001,R04,yes-for-r04-v001-boundary,no-for-r04-v001,covered,Covered by processed transcript region.
S-319,processed-in-r04-v001,R04,yes-for-r04-v001-boundary,no-for-r04-v001,covered,Covered by processed transcript region.
S-320,processed-in-r04-v001,R04,yes-for-r04-v001-boundary,no-for-r04-v001,covered,Covered by processed transcript region.
S-321,processed-in-r04-v001,R04,yes-for-r04-v001-boundary,no-for-r04-v001,covered,Covered by processed transcript region.
S-322,processed-in-r04-v001,R04,yes-for-r04-v001-boundary,no-for-r04-v001,covered,Covered by processed transcript region.
S-323,processed-in-r04-v001,R04,yes-for-r04-v001-boundary,no-for-r04-v001,covered,Covered by processed transcript region.
S-324,processed-in-r04-v001,R04,yes-for-r04-v001-boundary,no-for-r04-v001,covered,Covered by processed transcript region.
S-325,processed-in-r04-v001,R04,yes-for-r04-v001-boundary,no-for-r04-v001,covered,Covered by processed transcript region.
