region_source_id,source_id,fileId_short,initial_candidate_band,region_decision,status,readability,theme,verified_visible_text_or_gist,code_intent_if_visible,x,y,width,height,notes
R02-S052,S-081,7a7c07d105,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Content-Type header on request content,"Reading/response-content road: after ensuring success, response content can be read as string and deserialized, read as JSON, or read as stream. ReadAsStreamAsync avoids the intermediate string and is better for large content/downloads. Content-Type belongs on request content, not bare request headers.",,7318.513,3787.21,999.0,287.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S053,S-085,5c497328bb,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Server-side strictness optional / 406 Not Acceptable,"Content negotiation road: client/server negotiate representations using Accept headers and output formatters. If no Accept is provided, defaults may be used; strict servers may require explicit Accept and can return 406 Not Acceptable when no acceptable formatter exists.",,10628.466,4050.475,765.0,295.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S054,S-088,fa46d6b89b,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Use HttpRequestMessage when request-specific content/headers are needed,"Reading/response-content road: after ensuring success, response content can be read as string and deserialized, read as JSON, or read as stream. ReadAsStreamAsync avoids the intermediate string and is better for large content/downloads. Content-Type belongs on request content, not bare request headers.",,7299.608,4098.091,953.0,370.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S055,S-096,12ea3c6755,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Accept quality parameter and explicit preference,"Accept/default-header road: prefer request-specific HttpRequestMessage headers when preferences differ per request. Quality parameters q indicate relative preference. DefaultRequestHeaders are shared across requests, so clear/reset them carefully or avoid mutating them for per-request behavior.",,10583.058,4541.528,849.0,369.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S056,S-107,71ce8934ab,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Accept header and q quality parameter,"Accept/default-header road: prefer request-specific HttpRequestMessage headers when preferences differ per request. Quality parameters q indicate relative preference. DefaultRequestHeaders are shared across requests, so clear/reset them carefully or avoid mutating them for per-request behavior.","request.Headers.Accept.Add(new MediaTypeWithQualityHeaderValue(""application/json""));
request.Headers.Accept.Add(new MediaTypeWithQualityHeaderValue(""application/xml""));",10605.598,5125.203,737.0,482.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S057,S-114,87ece5e438,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Example code: add Accept headers with quality values,"Accept/default-header road: prefer request-specific HttpRequestMessage headers when preferences differ per request. Quality parameters q indicate relative preference. DefaultRequestHeaders are shared across requests, so clear/reset them carefully or avoid mutating them for per-request behavior.","var json = new MediaTypeWithQualityHeaderValue(""application/json"", 1.0);
var xml = new MediaTypeWithQualityHeaderValue(""application/xml"", 0.9);
request.Headers.Accept.Add(json);
request.Headers.Accept.Add(xml);",7514.317,5511.479,792.0,354.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S058,S-116,4d11b0dc3b,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Indicating preference / Accept header examples,"Accept/default-header road: prefer request-specific HttpRequestMessage headers when preferences differ per request. Quality parameters q indicate relative preference. DefaultRequestHeaders are shared across requests, so clear/reset them carefully or avoid mutating them for per-request behavior.",,10557.217,5636.896,756.0,482.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S059,S-121,c35fa352c0,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Code sample with multiple Accept headers,"Accept/default-header road: prefer request-specific HttpRequestMessage headers when preferences differ per request. Quality parameters q indicate relative preference. DefaultRequestHeaders are shared across requests, so clear/reset them carefully or avoid mutating them for per-request behavior.",,7505.734,5907.949,877.0,220.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S060,S-125,d96263ebb2,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,What q value means,"Accept/default-header road: prefer request-specific HttpRequestMessage headers when preferences differ per request. Quality parameters q indicate relative preference. DefaultRequestHeaders are shared across requests, so clear/reset them carefully or avoid mutating them for per-request behavior.",,10506.985,6159.812,788.0,355.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S061,S-133,97784ae7c7,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Demo title: indicating preference with relative quality parameter,Demo: indicating preference with relative quality parameter,,10299.643,6619.01,1110.0,349.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S062,S-139,f484f5f995,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,DefaultRequestHeaders.Accept examples / quality values,"Accept/default-header road: prefer request-specific HttpRequestMessage headers when preferences differ per request. Quality parameters q indicate relative preference. DefaultRequestHeaders are shared across requests, so clear/reset them carefully or avoid mutating them for per-request behavior.","httpClient.DefaultRequestHeaders.Clear();
httpClient.DefaultRequestHeaders.Accept.Add(new MediaTypeWithQualityHeaderValue(""application/json""));",10392.945,7137.388,883.0,271.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S063,S-144,e77af20350,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Demo using HttpClient.DefaultRequestHeaders and why it is shared,"Accept/default-header road: prefer request-specific HttpRequestMessage headers when preferences differ per request. Quality parameters q indicate relative preference. DefaultRequestHeaders are shared across requests, so clear/reset them carefully or avoid mutating them for per-request behavior.",,10440.403,7457.922,752.0,482.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S064,S-146,e3c87ff97f,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Content negotiation/client code duplicate placement,"Reading/response-content road: after ensuring success, response content can be read as string and deserialized, read as JSON, or read as stream. ReadAsStreamAsync avoids the intermediate string and is better for large content/downloads. Content-Type belongs on request content, not bare request headers.",,7435.834,7626.905,883.0,482.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S065,S-151,e9a443a860,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Why default request headers can be risky and should be cleared,"Accept/default-header road: prefer request-specific HttpRequestMessage headers when preferences differ per request. Quality parameters q indicate relative preference. DefaultRequestHeaders are shared across requests, so clear/reset them carefully or avoid mutating them for per-request behavior.",,10386.112,7949.317,790.0,330.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S066,S-157,c4bcad034a,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Better approach: HttpRequestMessage per request duplicate placement,"Accept/default-header road: prefer request-specific HttpRequestMessage headers when preferences differ per request. Quality parameters q indicate relative preference. DefaultRequestHeaders are shared across requests, so clear/reset them carefully or avoid mutating them for per-request behavior.",,10294.898,8383.864,801.0,139.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S067,S-158,873ff8027f,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Why not use HttpRequestMessage for every request / disposal basics,"Disposal road: dispose HttpRequestMessage/HttpResponseMessage when you own them, especially when using SendAsync/request-message patterns. Convenience APIs handle request disposal for you, but response disposal is important to release streams and return pooled connections.",,11335.177,8402.824,625.0,401.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S068,S-160,43622b63f9,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,SendAsync with request message / headers and response,"Reading/response-content road: after ensuring success, response content can be read as string and deserialized, read as JSON, or read as stream. ReadAsStreamAsync avoids the intermediate string and is better for large content/downloads. Content-Type belongs on request content, not bare request headers.","using var request = new HttpRequestMessage(HttpMethod.Get, ""/api/movies"");
request.Headers.Accept.Add(new MediaTypeWithQualityHeaderValue(""application/json""));
using var response = await httpClient.SendAsync(request, ct);",10256.898,8573.882,797.0,229.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S069,S-161,49a249585e,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Do you always need using? dispose safely when needed,"Disposal road: dispose HttpRequestMessage/HttpResponseMessage when you own them, especially when using SendAsync/request-message patterns. Convenience APIs handle request disposal for you, but response disposal is important to release streams and return pooled connections.",,11319.262,8829.535,738.0,404.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S070,S-162,727a1fce3d,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Why dispose matters: connection/resource cleanup,"Disposal road: dispose HttpRequestMessage/HttpResponseMessage when you own them, especially when using SendAsync/request-message patterns. Convenience APIs handle request disposal for you, but response disposal is important to release streams and return pooled connections.",,10213.525,8844.706,775.0,176.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S071,S-166,6d4cbefff2,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Convenience APIs handle disposal for you,"Disposal road: dispose HttpRequestMessage/HttpResponseMessage when you own them, especially when using SendAsync/request-message patterns. Convenience APIs handle request disposal for you, but response disposal is important to release streams and return pooled connections.",,10303.889,9264.311,730.0,482.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S072,S-167,a38ac5b6aa,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,HttpResponseMessage should also be disposed,"Disposal road: dispose HttpRequestMessage/HttpResponseMessage when you own them, especially when using SendAsync/request-message patterns. Convenience APIs handle request disposal for you, but response disposal is important to release streams and return pooled connections.",,11318.998,9318.922,706.0,152.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
R02-S073,S-170,de7e748290,R02-base-usage-quick-headers-dispose,R02,processed-in-r01r02-v001,high-or-medium-from-contact-sheet; source image included,Disposing response returns connection to pool / releases stream,"Disposal road: dispose HttpRequestMessage/HttpResponseMessage when you own them, especially when using SendAsync/request-message patterns. Convenience APIs handle request disposal for you, but response disposal is important to release streams and return pooled connections.",,11331.15,9496.195,672.0,132.0,Combined R01/R02 pass. This is a source-preserving visible-gist transcript; inspect source image for exact tiny punctuation if needed.
