source_id,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,is_processed,is_duplicate_use_record,pending_like,bad_placeholder_signal_found
S-243,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-244,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-245,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-246,duplicate-use-recorded-in-r10-v006,R10,yes-coverage-only,no-for-r10-v006,no,yes,no,no
S-247,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-248,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-249,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-250,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-251,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-252,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-253,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-254,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-255,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-256,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-257,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-258,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-259,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-260,processed-in-r11-v001,R11,yes-for-r11-stage4y-rebuild-b,no-for-stage4y-rebuild-b,yes,no,no,no
S-261,processed-in-r11b-v001,R11B,yes-for-r11b-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-262,processed-in-r11b-v001,R11B,yes-for-r11b-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-263,processed-in-r11b-v001,R11B,yes-for-r11b-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-264,processed-in-r11b-v001,R11B,yes-for-r11b-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-265,processed-in-r11b-v001,R11B,yes-for-r11b-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-266,processed-in-r11b-v001,R11B,yes-for-r11b-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-267,processed-in-r11b-v001,R11B,yes-for-r11b-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-268,processed-in-r11b-v001,R11B,yes-for-r11b-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-269,processed-in-r11b-v001,R11B,yes-for-r11b-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-270,processed-in-r11b-v001,R11B,yes-for-r11b-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-271,processed-in-r11b-v001,R11B,yes-for-r11b-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-272,processed-in-r11b-v001,R11B,yes-for-r11b-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-273,processed-in-r11b-v001,R11B,yes-for-r11b-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-274,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-275,processed-in-r09d-v001,R09D,yes-for-r09d-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-276,processed-in-r13-v001,R13,yes-for-r13-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-277,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-278,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-279,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-280,processed-in-r09d-v001,R09D,yes-for-r09d-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-281,processed-in-r09d-v001,R09D,yes-for-r09d-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-282,processed-in-r09d-v001,R09D,yes-for-r09d-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-283,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-284,processed-in-r09d-v001,R09D,yes-for-r09d-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-285,processed-in-r13-v001,R13,yes-for-r13-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-286,processed-in-r09d-v001,R09D,yes-for-r09d-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-287,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-288,processed-in-r12-v002-correction,R12,yes-for-r12-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-289,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-290,processed-in-r09d-v001,R09D,yes-for-r09d-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-291,processed-in-r09d-v001,R09D,yes-for-r09d-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-292,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-293,processed-in-r13-v001,R13,yes-for-r13-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-294,processed-in-r09d-v001,R09D,yes-for-r09d-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-295,processed-in-r12-v002-correction,R12,yes-for-r12-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-296,processed-in-r09d-v001,R09D,yes-for-r09d-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-297,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-298,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-299,processed-in-r13-v001,R13,yes-for-r13-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-300,processed-in-r12-v002-correction,R12,yes-for-r12-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-301,processed-in-r09d-v001,R09D,yes-for-r09d-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-302,processed-in-r09d-v001,R09D,yes-for-r09d-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-303,processed-in-r09d-v001,R09D,yes-for-r09d-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-304,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-305,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-306,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-307,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-308,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-309,processed-in-r09d-v001,R09D,yes-for-r09d-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-310,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-311,processed-in-r09d-v001,R09D,yes-for-r09d-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-312,processed-in-r09d-v001,R09D,yes-for-r09d-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-313,processed-in-r13-v001,R13,yes-for-r13-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-314,processed-in-r09d-v001,R09D,yes-for-r09d-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-315,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-316,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-317,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-318,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-319,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-320,processed-in-r09d-v001,R09D,yes-for-r09d-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-321,processed-in-r13-v001,R13,yes-for-r13-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-322,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-323,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-324,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-325,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-326,processed-in-r09d-v001,R09D,yes-for-r09d-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-327,processed-in-r09d-v001,R09D,yes-for-r09d-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-328,processed-in-r13-v001,R13,yes-for-r13-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-329,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-330,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-331,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-332,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-333,processed-in-r13-v001,R13,yes-for-r13-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-334,processed-in-r09d-v001,R09D,yes-for-r09d-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-335,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-336,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-337,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-338,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-339,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-340,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-341,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-342,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-343,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-344,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-345,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-346,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-347,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-348,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-349,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-350,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-351,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-352,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-353,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-354,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-355,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-356,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-357,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-358,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-359,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-360,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-361,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-362,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-363,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-364,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-365,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-366,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-367,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-368,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-369,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-370,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-371,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-372,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-373,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-374,processed-in-r14-v001,R14,yes-for-r14-stage5c,no-for-stage5c-transcript,yes,no,no,no
S-375,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-376,processed-in-r15-v001,R15,yes-for-r15-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-377,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-378,processed-in-r15-v001,R15,yes-for-r15-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-379,processed-in-r15-v001,R15,yes-for-r15-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-380,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-381,processed-in-r15-v001,R15,yes-for-r15-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-382,processed-in-r12-v001,R12,yes-for-r12-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-383,processed-in-r15-v001,R15,yes-for-r15-stage5b,no-for-stage5b-transcript,yes,no,no,no
S-384,processed-in-r15-v002-correction,R15,yes-for-r15-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-385,processed-in-r18-v001,R18,yes-for-r18-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-386,processed-in-r12-v003-tail,R12,yes-for-r12-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-387,processed-in-r18-v001,R18,yes-for-r18-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-388,processed-in-r15-v002-correction,R15,yes-for-r15-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-389,processed-in-r12-v003-tail,R12,yes-for-r12-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-390,processed-in-r16-v001,R16,yes-for-r16-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-391,processed-in-r18-v001,R18,yes-for-r18-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-392,processed-in-r15-v002-correction,R15,yes-for-r15-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-393,processed-in-r12-v003-tail,R12,yes-for-r12-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-394,processed-in-r16-v001,R16,yes-for-r16-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-395,processed-in-r15-v002-correction,R15,yes-for-r15-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-396,processed-in-r12-v003-tail,R12,yes-for-r12-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-397,processed-in-r18-v001,R18,yes-for-r18-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-398,processed-in-r16-v001,R16,yes-for-r16-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-399,processed-in-r17-v001,R17,yes-for-r17-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-400,processed-in-r18-v001,R18,yes-for-r18-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-401,processed-in-r12-v003-tail,R12,yes-for-r12-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-402,processed-in-r17-v001,R17,yes-for-r17-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-403,processed-in-r17-v003-tail,R17,yes-for-r17-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-404,processed-in-r17-v001,R17,yes-for-r17-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-405,processed-in-r16-v001,R16,yes-for-r16-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-406,processed-in-r18-v001,R18,yes-for-r18-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-407,processed-in-r16-v001,R16,yes-for-r16-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-408,processed-in-r16-v001,R16,yes-for-r16-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-409,processed-in-r16-v001,R16,yes-for-r16-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-410,processed-in-r17-v001,R17,yes-for-r17-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-411,processed-in-r16-v001,R16,yes-for-r16-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-412,processed-in-r16-v001,R16,yes-for-r16-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-413,processed-in-r17-v001,R17,yes-for-r17-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-414,processed-in-r17-v003-tail,R17,yes-for-r17-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-415,processed-in-r18-v001,R18,yes-for-r18-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-416,processed-in-r16-v002-reset-flow,R16,yes-for-r16-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-417,processed-in-r17-v001,R17,yes-for-r17-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-418,processed-in-r17-v001,R17,yes-for-r17-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-419,processed-in-r16-v001,R16,yes-for-r16-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-420,processed-in-r17-v003-tail,R17,yes-for-r17-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-421,processed-in-r17-v001,R17,yes-for-r17-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-422,processed-in-r16-v002-reset-flow,R16,yes-for-r16-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-423,processed-in-r17-v003-tail,R17,yes-for-r17-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-424,processed-in-r17-v003-tail,R17,yes-for-r17-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-425,processed-in-r17-v003-tail,R17,yes-for-r17-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-426,processed-in-r20-v002-correction,R20,yes-for-r20-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-427,processed-in-r20-v001,R20,yes-for-r20-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-428,processed-in-r16-v002-reset-flow,R16,yes-for-r16-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-429,processed-in-r17-v003-tail,R17,yes-for-r17-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-430,processed-in-r19-v001,R19,yes-for-r19-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-431,processed-in-r20-v002-correction,R20,yes-for-r20-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-432,processed-in-r20-v001,R20,yes-for-r20-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-433,processed-in-r17-v003-tail,R17,yes-for-r17-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-434,processed-in-r20-v001,R20,yes-for-r20-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-435,processed-in-r20-v001,R20,yes-for-r20-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-436,processed-in-r17-v003-tail,R17,yes-for-r17-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-437,processed-in-r16-v002-reset-flow,R16,yes-for-r16-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-438,processed-in-r17-v003-tail,R17,yes-for-r17-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-439,processed-in-r20-v001,R20,yes-for-r20-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-440,processed-in-r20-v001,R20,yes-for-r20-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-441,processed-in-r19-v001,R19,yes-for-r19-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-442,processed-in-r20-v001,R20,yes-for-r20-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-443,processed-in-r20-v002-correction,R20,yes-for-r20-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-444,processed-in-r16-v002-reset-flow,R16,yes-for-r16-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-445,processed-in-r19-v001,R19,yes-for-r19-stage6b,no-for-stage6b-transcript,yes,no,no,no
S-446,processed-in-r17-v003-tail,R17,yes-for-r17-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-447,processed-in-r17-v003-tail,R17,yes-for-r17-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-448,processed-in-r19-v002-testing-msw,R19,yes-for-r19-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-449,processed-in-r20-v001,R20,yes-for-r20-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-450,processed-in-r20-v001,R20,yes-for-r20-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-451,processed-in-r20-v001,R20,yes-for-r20-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-452,processed-in-r19-v002-testing-msw,R19,yes-for-r19-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-453,processed-in-r20-v001,R20,yes-for-r20-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-454,processed-in-r16-v002-reset-flow,R16,yes-for-r16-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-455,processed-in-r19-v002-testing-msw,R19,yes-for-r19-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-456,processed-in-r20-v001,R20,yes-for-r20-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-457,processed-in-r16-v002-reset-flow,R16,yes-for-r16-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-458,processed-in-r17-v002-comparison,R17,yes-for-r17-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-459,processed-in-r20-v001,R20,yes-for-r20-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-460,processed-in-r20-v001,R20,yes-for-r20-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-461,processed-in-r19-v002-testing-msw,R19,yes-for-r19-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-462,processed-in-r20-v001,R20,yes-for-r20-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-463,processed-in-r19-v002-testing-msw,R19,yes-for-r19-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-464,processed-in-r16-v002-reset-flow,R16,yes-for-r16-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-465,processed-in-r17-v002-comparison,R17,yes-for-r17-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-466,processed-in-r20-v001,R20,yes-for-r20-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-467,processed-in-r19-v002-testing-msw,R19,yes-for-r19-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-468,processed-in-r20-v001,R20,yes-for-r20-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-469,processed-in-r16-v002-reset-flow,R16,yes-for-r16-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-470,processed-in-r19-v002-testing-msw,R19,yes-for-r19-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-471,processed-in-r17-v002-comparison,R17,yes-for-r17-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-472,processed-in-r17-v002-comparison,R17,yes-for-r17-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-473,processed-in-r19-v002-testing-msw,R19,yes-for-r19-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-474,processed-in-r20-v001,R20,yes-for-r20-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-475,processed-in-r17-v002-comparison,R17,yes-for-r17-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-476,processed-in-r19-v002-testing-msw,R19,yes-for-r19-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-477,processed-in-r20-v003-selector-tail,R20,yes-for-r20-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-478,processed-in-r20-v003-selector-tail,R20,yes-for-r20-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-479,processed-in-r17-v002-comparison,R17,yes-for-r17-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-480,processed-in-r19-v002-testing-msw,R19,yes-for-r19-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-481,processed-in-r20-v003-selector-tail,R20,yes-for-r20-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-482,processed-in-r17-v002-comparison,R17,yes-for-r17-stage6c,no-for-stage6c-transcript,yes,no,no,no
S-483,processed-in-r20-v003-selector-tail,R20,yes-for-r20-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-484,processed-in-r19-v002-testing-msw,R19,yes-for-r19-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-485,processed-in-r24-v001-cheat-sheet-summary,R24,yes-for-r24-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-486,processed-in-r17-v003-tail,R17,yes-for-r17-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-487,processed-in-r20-v003-selector-tail,R20,yes-for-r20-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-488,processed-in-r19-v002-testing-msw,R19,yes-for-r19-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-489,processed-in-r24-v001-cheat-sheet-summary,R24,yes-for-r24-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-490,processed-in-r17-v003-tail,R17,yes-for-r17-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-491,processed-in-r20-v003-selector-tail,R20,yes-for-r20-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-492,processed-in-r19-v002-testing-msw,R19,yes-for-r19-stage6d,no-for-stage6d-transcript,yes,no,no,no
S-493,processed-in-r17-v003-tail,R17,yes-for-r17-stage6d,no-for-stage6d-transcript,yes,no,no,no
