source_id,image_use_id,symbol_id,sha256,x,y,width,height,pixel_width,pixel_height,region_id,previously_present,restored,coverage_status,assignment_count,asset_path,description,nearest_text_nodes_hint_only
RS-039,RIU-039,image-c0286a48d573da25d826eb86f38ad0e127e824d0,16346be87e85c0c89f5a98c4ebfc5eef430bc4c2ce2468ef152d71ab3d3b94f7,1701.5942493201019,2814.1492717904694,908.0,299.0,908,299,R04,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-039__16346be87e.png,Concurrency protection for simultaneous failed-login updates.,"[{""text_id"": ""FT-020"", ""text"": ""context.lease""}, {""text_id"": ""FT-025"", ""text"": ""retry after from lease by limiter type""}, {""text_id"": ""FT-032"", ""text"": ""what lease CAN include, how to discover it""}, {""text_id"": ""FT-002"", ""text"": ""manual account lockout + retry after manually""}, {""text_id"": ""FT-019"", ""text"": ""locking other people's accounts""}]"
RS-040,RIU-040,image-a116aa69ad4687d0c6c4a6fddc3b57e5286f019b,2206e53419336f2ca3ea77bd7ff8da1833f35b62543ada30b2202bece02a4e9c,5198.908888085851,2875.0692699405517,719.0,181.0,719,181,R04,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-040__2206e53419.png,Why rotating IPs require account-keyed protection or Identity lockout.,"[{""text_id"": ""FT-019"", ""text"": ""locking other people's accounts""}, {""text_id"": ""FT-018"", ""text"": ""attacker changes ips""}, {""text_id"": ""FT-017"", ""text"": ""combined key for rate limiting""}, {""text_id"": ""FT-016"", ""text"": ""with action service we can grab email from the deserialized payload easily""}, {""text_id"": ""FT-015"", ""text"": ""we will need some manual buffering and at hot paths better to avoid it""}]"
RS-041,RIU-041,image-93e78ea073bec9948671743df2f90e73b54727de,953936176cc0b35279ae728fc8f7c903f85b91f9ef34817ac69732fa8ee5ef04,4035.797729753899,3016.5409609926683,848.0,482.0,939,534,R03,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-041__953936176c.png,OnRejected customizes rejection but does not create or apply a limiter.,"[{""text_id"": ""FT-019"", ""text"": ""locking other people's accounts""}, {""text_id"": ""FT-018"", ""text"": ""attacker changes ips""}, {""text_id"": ""FT-017"", ""text"": ""combined key for rate limiting""}, {""text_id"": ""FT-025"", ""text"": ""retry after from lease by limiter type""}, {""text_id"": ""FT-020"", ""text"": ""context.lease""}]"
RS-042,RIU-042,image-256596b5b023055fae964d9ce40b043a4dc0876d,30368bc32b1977eb99e90932b3e086dcbbe002d6c4bb613b8dfcc7edb1f27eb5,6691.839249610432,3067.4132658694507,789.0,391.0,924,458,R05,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-042__30368bc32b.png,Middleware registration and the cost of reading request bodies for account keys.,"[{""text_id"": ""FT-022"", ""text"": ""for it only when count is 1""}, {""text_id"": ""FT-021"", ""text"": ""new key - set expiration""}, {""text_id"": ""FT-027"", ""text"": ""so the most secure approaches""}, {""text_id"": ""FT-016"", ""text"": ""with action service we can grab email from the deserialized payload easily""}, {""text_id"": ""FT-028"", ""text"": ""per ip attempts""}]"
RS-043,RIU-043,image-163ad4ab11d922b0136f15b9a83e8c199f6d52d6,0aec468fe6d85219a1038596c911074b1b2871bd2015dc0472783b29fc688d38,1716.260915986768,3107.112392992727,852.0,359.0,852,359,R04,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-043__0aec468fe6.png,"Separate failed-attempt table for audit, analytics, and richer security signals.","[{""text_id"": ""FT-025"", ""text"": ""retry after from lease by limiter type""}, {""text_id"": ""FT-020"", ""text"": ""context.lease""}, {""text_id"": ""FT-032"", ""text"": ""what lease CAN include, how to discover it""}, {""text_id"": ""FT-002"", ""text"": ""manual account lockout + retry after manually""}, {""text_id"": ""FT-019"", ""text"": ""locking other people's accounts""}]"
RS-044,RIU-044,image-64277fead6b7a4f54d80a5d570235607eb553118,e72107c753f9ea02ec1ad65baea0aec355ae3f8cb42c43454357ac82b178f552,10633.963424110028,3118.0717182853514,944.0,482.0,994,508,R06,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-044__e72107c753.png,Two Redis access styles: StackExchange.Redis directly or IDistributedCache abstraction.,"[{""text_id"": ""FT-024"", ""text"": ""multiplexer + idatabase""}, {""text_id"": ""FT-023"", ""text"": ""redis through idistributed cache vs""}, {""text_id"": ""FT-026"", ""text"": ""multiplexer""}, {""text_id"": ""FT-007"", ""text"": ""lockout with identity""}, {""text_id"": ""FT-035"", ""text"": ""this is about data being lost,""}]"
RS-045,RIU-045,image-496575f36682014c62fa9ce6f50678d26afd03f3,67df510e35bd68ef416139921b9eb2e17faa9480ecfeaedeb273f502b3b39836,2897.941610078353,3153.3236352186395,963.0,384.0,963,384,R01,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-045__67df510e35.png,Lease ownership and optional metadata supplied by limiter implementations.,"[{""text_id"": ""FT-025"", ""text"": ""retry after from lease by limiter type""}, {""text_id"": ""FT-020"", ""text"": ""context.lease""}, {""text_id"": ""FT-019"", ""text"": ""locking other people's accounts""}, {""text_id"": ""FT-018"", ""text"": ""attacker changes ips""}, {""text_id"": ""FT-017"", ""text"": ""combined key for rate limiting""}]"
RS-046,RIU-046,image-35d6436dc6d044264242d3a4a5fc8cfc3c3dc3b7,88f74edbf76711c129cc7e05d4cd59ce6f9b45fc15cd42a97275177248d0a91b,5210.381476250291,3178.4944625053613,737.0,482.0,951,622,R02,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-046__88f74edbf7.png,Token-bucket configuration example.,"[{""text_id"": ""FT-019"", ""text"": ""locking other people's accounts""}, {""text_id"": ""FT-018"", ""text"": ""attacker changes ips""}, {""text_id"": ""FT-017"", ""text"": ""combined key for rate limiting""}, {""text_id"": ""FT-027"", ""text"": ""so the most secure approaches""}, {""text_id"": ""FT-029"", ""text"": ""global limiter""}]"
RS-047,RIU-047,image-57cf0bcae4cafc66df8711fc1295fb03eff0794e,642bae7c8748433ad893cf1626f78adf88e56170dbf7556b0f89bbdb0948dd9f,7825.604988057309,3307.1288716109557,868.0,434.0,868,434,R05,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-047__642bae7c87.png,Failed-login registration and clearing state on successful authentication.,"[{""text_id"": ""FT-026"", ""text"": ""multiplexer""}, {""text_id"": ""FT-022"", ""text"": ""for it only when count is 1""}, {""text_id"": ""FT-021"", ""text"": ""new key - set expiration""}, {""text_id"": ""FT-028"", ""text"": ""per ip attempts""}, {""text_id"": ""FT-024"", ""text"": ""multiplexer + idatabase""}]"
RS-048,RIU-048,image-fb7d0696e9f696af0f04e767cb49c3ecf95d59dd,7de8f4420aac3a60f90bcbaeec3e8eab8cdfdae7dc069a960ba3f428ea327f87,1700.7423070457953,3468.83441176443,806.0,320.0,806,320,R04,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-048__7de8f4420a.png,Attempts-table write amplification and hybrid storage tradeoff.,"[{""text_id"": ""FT-025"", ""text"": ""retry after from lease by limiter type""}, {""text_id"": ""FT-020"", ""text"": ""context.lease""}, {""text_id"": ""FT-032"", ""text"": ""what lease CAN include, how to discover it""}, {""text_id"": ""FT-019"", ""text"": ""locking other people's accounts""}, {""text_id"": ""FT-029"", ""text"": ""global limiter""}]"
RS-049,RIU-049,image-c45b3d6f76f2cdffb1ff374cc05c779241e867aa,bf2c868830ec5cc864a7262fd46bd71cbf6d1f686682a67aefe9a5689d8c758f,4076.6679716024673,3547.0861676983986,796.0,159.0,796,159,R03,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-049__bf2c868830.png,No limiter or policy means OnRejected is never invoked.,"[{""text_id"": ""FT-025"", ""text"": ""retry after from lease by limiter type""}, {""text_id"": ""FT-019"", ""text"": ""locking other people's accounts""}, {""text_id"": ""FT-018"", ""text"": ""attacker changes ips""}, {""text_id"": ""FT-029"", ""text"": ""global limiter""}, {""text_id"": ""FT-017"", ""text"": ""combined key for rate limiting""}]"
RS-050,RIU-050,image-a3b2562b62d0d428d2997d43258be6f560fa2b5e,1d202bfdf9e10b1c039791ec07fcf42e56d25e5bb18647abe4087bedaa7e6dfb,10121.900029678043,3622.1319990260345,682.0,392.0,682,392,R06,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-050__1d202bfdf9.png,IConnectionMultiplexer as the shared long-lived Redis connection manager.,"[{""text_id"": ""FT-024"", ""text"": ""multiplexer + idatabase""}, {""text_id"": ""FT-023"", ""text"": ""redis through idistributed cache vs""}, {""text_id"": ""FT-026"", ""text"": ""multiplexer""}, {""text_id"": ""FT-033"", ""text"": ""atomic counters, race conditions with idatabase""}, {""text_id"": ""FT-035"", ""text"": ""this is about data being lost,""}]"
RS-051,RIU-051,image-a99ebee07fb109821203b32d66bfe423520bbae5,ad4bc80d5e1c04029207d8ee4b7e977973850913d2cb49f9361bef0510db04ca,11207.556607035734,3666.438276469129,810.0,482.0,930,554,R06,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-051__ad4bc80d5e.png,IDistributedCache capabilities and Redis-backed configuration.,"[{""text_id"": ""FT-024"", ""text"": ""multiplexer + idatabase""}, {""text_id"": ""FT-023"", ""text"": ""redis through idistributed cache vs""}, {""text_id"": ""FT-026"", ""text"": ""multiplexer""}, {""text_id"": ""FT-035"", ""text"": ""this is about data being lost,""}, {""text_id"": ""FT-036"", ""text"": ""multiple concurrent requests""}]"
RS-052,RIU-052,image-f8c4fa7177163d3a6a007404dda52716860d7b97,c2df791c0e45818e234a3e4706afc6d26abe9d0d89bfe58a0fa0ff40f45ab7f2,2879.5047173525127,3684.9327681296163,943.0,475.0,943,475,R01,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-052__c2df791c0e.png,Limiter-specific lease metadata differences.,"[{""text_id"": ""FT-025"", ""text"": ""retry after from lease by limiter type""}, {""text_id"": ""FT-020"", ""text"": ""context.lease""}, {""text_id"": ""FT-032"", ""text"": ""what lease CAN include, how to discover it""}, {""text_id"": ""FT-029"", ""text"": ""global limiter""}, {""text_id"": ""FT-030"", ""text"": ""multiple limiters for one policy""}]"
RS-053,RIU-053,image-45f3e92152b0a8a50d626ae4309e90a6df223b1b,4068af5c946cd5b60af705831aadb33eb94f249689bcecdfe840624af452d5a1,5197.793117762434,3717.3833683484663,751.0,482.0,952,611,R02,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-053__4068af5c94.png,ConcurrencyLimiter configuration example.,"[{""text_id"": ""FT-029"", ""text"": ""global limiter""}, {""text_id"": ""FT-030"", ""text"": ""multiple limiters for one policy""}, {""text_id"": ""FT-031"", ""text"": ""applying limiters via attributes""}, {""text_id"": ""FT-027"", ""text"": ""so the most secure approaches""}, {""text_id"": ""FT-019"", ""text"": ""locking other people's accounts""}]"
RS-054,RIU-054,image-02a5d257ec4a23a7186155a63b6746b298d63cd0,83fbc0b4b9716facba7a0fde72433acb465a72acf97d8d2f234d6ce85820e605,7030.91865660277,3725.4598104306933,873.0,348.0,999,398,R04,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-054__83fbc0b4b9.png,Why a TTL block key usually need not be deleted on success.,"[{""text_id"": ""FT-028"", ""text"": ""per ip attempts""}, {""text_id"": ""FT-027"", ""text"": ""so the most secure approaches""}, {""text_id"": ""FT-022"", ""text"": ""for it only when count is 1""}, {""text_id"": ""FT-021"", ""text"": ""new key - set expiration""}, {""text_id"": ""FT-026"", ""text"": ""multiplexer""}]"
RS-055,RIU-055,image-1441353505b1c9a8ec498e992864a672462841d4,76f5b5834017f567e69f710527c3bfdb6db3077eaa4a3acc2d26db5c2fe0df21,1698.3426731139625,3780.529388749539,900.0,297.0,900,297,R01,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-055__76f5b58340.png,429 Retry-After convention and possible 423 lock semantics.,"[{""text_id"": ""FT-025"", ""text"": ""retry after from lease by limiter type""}, {""text_id"": ""FT-020"", ""text"": ""context.lease""}, {""text_id"": ""FT-032"", ""text"": ""what lease CAN include, how to discover it""}, {""text_id"": ""FT-029"", ""text"": ""global limiter""}, {""text_id"": ""FT-030"", ""text"": ""multiple limiters for one policy""}]"
RS-056,RIU-056,image-21d24c912eede4e23ec19a2b21b4f547e82b731f,8e8154e9be93c2dc3dbc5f517e6f43d1db42ad65cfe92656939f6000b9de686c,4083.156430815183,3810.538967570432,766.0,482.0,945,595,R02,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-056__8e8154e9be.png,Fixed-window configuration example.,"[{""text_id"": ""FT-029"", ""text"": ""global limiter""}, {""text_id"": ""FT-030"", ""text"": ""multiple limiters for one policy""}, {""text_id"": ""FT-025"", ""text"": ""retry after from lease by limiter type""}, {""text_id"": ""FT-031"", ""text"": ""applying limiters via attributes""}, {""text_id"": ""FT-019"", ""text"": ""locking other people's accounts""}]"
RS-057,RIU-057,image-68bb88e6f48ec0cd50af89c0b4960ff693d21fdd,a1345e98c58489046b3d8cb85d80e906b71d17b27a1699f6c99070bab0152e98,10122.06674720734,4043.1875715358,935.0,281.0,935,281,R06,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-057__a1345e98c5.png,Singleton multiplexer registration.,"[{""text_id"": ""FT-024"", ""text"": ""multiplexer + idatabase""}, {""text_id"": ""FT-023"", ""text"": ""redis through idistributed cache vs""}, {""text_id"": ""FT-026"", ""text"": ""multiplexer""}, {""text_id"": ""FT-035"", ""text"": ""this is about data being lost,""}, {""text_id"": ""FT-036"", ""text"": ""multiple concurrent requests""}]"
RS-058,RIU-058,image-6fbab685c092ff1d0457de1f29e956b0ee763d34,8cabecd3e9c9b31c76433587eb0ed44b4c16712e970044130451f7d7d436c908,8842.802326756691,4047.989638442228,701.0,430.0,897,550,R06,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-058__8cabecd3e9.png,Connection multiplexing: many logical operations over a small connection pool.,"[{""text_id"": ""FT-026"", ""text"": ""multiplexer""}, {""text_id"": ""FT-024"", ""text"": ""multiplexer + idatabase""}, {""text_id"": ""FT-023"", ""text"": ""redis through idistributed cache vs""}, {""text_id"": ""FT-028"", ""text"": ""per ip attempts""}, {""text_id"": ""FT-033"", ""text"": ""atomic counters, race conditions with idatabase""}]"
RS-059,RIU-059,image-751a5f4b75d21512e47da8285f06161af3b3f198,1eddfcf6b08e69f2dc0cd8992d02aed1a9788d55be86eedd52b253b11e1f6d6e,11226.552398327523,4160.964901360621,897.0,466.0,897,466,R06,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-059__1eddfcf6b0.png,IDistributedCache value-storage example.,"[{""text_id"": ""FT-024"", ""text"": ""multiplexer + idatabase""}, {""text_id"": ""FT-023"", ""text"": ""redis through idistributed cache vs""}, {""text_id"": ""FT-026"", ""text"": ""multiplexer""}, {""text_id"": ""FT-035"", ""text"": ""this is about data being lost,""}, {""text_id"": ""FT-036"", ""text"": ""multiple concurrent requests""}]"
RS-060,RIU-060,image-dcb6041ba99189d7a74f462fad3a28b2bed32ebe,8892515b3b2ce6e90bf60413c4211afcce82f9ab2b1bb67366efb2b458747d51,2916.171343329075,4165.266142153054,947.0,261.0,947,261,R01,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-060__8892515b3b.png,Concurrency limiter may not provide meaningful Retry-After metadata.,"[{""text_id"": ""FT-025"", ""text"": ""retry after from lease by limiter type""}, {""text_id"": ""FT-032"", ""text"": ""what lease CAN include, how to discover it""}, {""text_id"": ""FT-020"", ""text"": ""context.lease""}, {""text_id"": ""FT-029"", ""text"": ""global limiter""}, {""text_id"": ""FT-030"", ""text"": ""multiple limiters for one policy""}]"
RS-061,RIU-061,image-6ae8cbf21f38b69211cdc459c3418c64bd196415,aee258e8b35bca57152536e394ce3693fc0ed8bc3181691c9a4a399f058d3fd1,10138.622167129215,4322.687622398424,873.0,382.0,873,382,R06,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-061__aee258e8b3.png,IDatabase as a lightweight logical Redis command surface.,"[{""text_id"": ""FT-024"", ""text"": ""multiplexer + idatabase""}, {""text_id"": ""FT-026"", ""text"": ""multiplexer""}, {""text_id"": ""FT-023"", ""text"": ""redis through idistributed cache vs""}, {""text_id"": ""FT-035"", ""text"": ""this is about data being lost,""}, {""text_id"": ""FT-036"", ""text"": ""multiple concurrent requests""}]"
RS-062,RIU-062,image-d2405dde4b6b1670bca29de8de1ef76e5fed9c4e,2e375992ee813bb95c3aa242f5b57e5c8789b0d95c1acf724993e63358d1f01c,3007.177427570441,4442.609892153052,733.0,482.0,924,608,R01,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-062__2e375992ee.png,Fallback Retry-After behavior when metadata is absent.,"[{""text_id"": ""FT-032"", ""text"": ""what lease CAN include, how to discover it""}, {""text_id"": ""FT-025"", ""text"": ""retry after from lease by limiter type""}, {""text_id"": ""FT-029"", ""text"": ""global limiter""}, {""text_id"": ""FT-030"", ""text"": ""multiple limiters for one policy""}, {""text_id"": ""FT-031"", ""text"": ""applying limiters via attributes""}]"
RS-063,RIU-063,image-0ceb98a67719d00bc9ec14b60c086da16aaea229,0086b1ab1bf2bde8e7d63c9563042e464cd870e628077b952536aeeb05b617c9,8786.491652984934,4489.529320981908,909.0,392.0,909,392,R06,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-063__0086b1ab1b.png,Comparison of multiplexer/IDatabase with HttpClientFactory/HttpClient.,"[{""text_id"": ""FT-026"", ""text"": ""multiplexer""}, {""text_id"": ""FT-033"", ""text"": ""atomic counters, race conditions with idatabase""}, {""text_id"": ""FT-034"", ""text"": ""and idistributedcache""}, {""text_id"": ""FT-035"", ""text"": ""this is about data being lost,""}, {""text_id"": ""FT-036"", ""text"": ""multiple concurrent requests""}]"
RS-064,RIU-064,image-d5b989884a9d7dee25d67da5eaeace20b0977f89,d3ff1abd0561004a2f445b89aa818ce8b28008150b3f55660075d3b6fd2a7bdf,10149.344355443016,4718.965434084634,896.0,465.0,896,465,R06,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-064__d3ff1abd05.png,IDatabase command examples and logical database selection.,"[{""text_id"": ""FT-026"", ""text"": ""multiplexer""}, {""text_id"": ""FT-024"", ""text"": ""multiplexer + idatabase""}, {""text_id"": ""FT-023"", ""text"": ""redis through idistributed cache vs""}, {""text_id"": ""FT-035"", ""text"": ""this is about data being lost,""}, {""text_id"": ""FT-036"", ""text"": ""multiple concurrent requests""}]"
RS-065,RIU-065,image-1a5c366f8c5451b7d6129380c5f8b55564020b2b,35c47ca35b5cce7cd22260bd2f9b3856687e56ad139b4d8de15279700c4c695b,8829.42879508381,4900.629125199908,863.0,463.0,896,481,R06,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-065__35c47ca35b.png,End-to-end multiplexer and IDatabase request flow.,"[{""text_id"": ""FT-033"", ""text"": ""atomic counters, race conditions with idatabase""}, {""text_id"": ""FT-035"", ""text"": ""this is about data being lost,""}, {""text_id"": ""FT-034"", ""text"": ""and idistributedcache""}, {""text_id"": ""FT-036"", ""text"": ""multiple concurrent requests""}, {""text_id"": ""FT-037"", ""text"": ""one gets  5""}]"
RS-066,RIU-066,image-620655143a6cbc9778e4474d8cd498c2801a02a2,7f84987e6233c2e064f97863ae9eb60b8045694de4631e1d4d786c26229d7efc,6918.3371360047195,4922.012586145947,975.0,315.0,975,315,R08,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-066__7f84987e62.png,"Layered architecture: local RateLimiter, shared Redis failed counters, and Identity lockout.","[{""text_id"": ""FT-028"", ""text"": ""per ip attempts""}, {""text_id"": ""FT-027"", ""text"": ""so the most secure approaches""}, {""text_id"": ""FT-033"", ""text"": ""atomic counters, race conditions with idatabase""}, {""text_id"": ""FT-034"", ""text"": ""and idistributedcache""}, {""text_id"": ""FT-035"", ""text"": ""this is about data being lost,""}]"
RS-067,RIU-067,image-b6394026ac3557c453b8e12b612962666a41db25,3b03914cee295ff9340ed13de967c95649587aca30c9feedad08bd53bc428cda,3016.171343329075,4930.0995161764895,907.0,214.0,907,214,R01,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-067__3b03914cee.png,Lease always reports acquired/rejected; extra metadata remains optional.,"[{""text_id"": ""FT-032"", ""text"": ""what lease CAN include, how to discover it""}, {""text_id"": ""FT-025"", ""text"": ""retry after from lease by limiter type""}, {""text_id"": ""FT-029"", ""text"": ""global limiter""}, {""text_id"": ""FT-030"", ""text"": ""multiple limiters for one policy""}, {""text_id"": ""FT-031"", ""text"": ""applying limiters via attributes""}]"
RS-068,RIU-068,image-e1f48ed183b72221c836b3a5e398972b32bda3f6,0495693a3c63562d99412c85fd9a6a43b03d431fc249c22bfca9d607d96246c1,3038.83809137595,5170.099394106177,939.0,286.0,939,286,R01,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-068__0495693a3c.png,Custom metadata generally requires a custom limiter or response-side fallback logic.,"[{""text_id"": ""FT-032"", ""text"": ""what lease CAN include, how to discover it""}, {""text_id"": ""FT-030"", ""text"": ""multiple limiters for one policy""}, {""text_id"": ""FT-029"", ""text"": ""global limiter""}, {""text_id"": ""FT-031"", ""text"": ""applying limiters via attributes""}, {""text_id"": ""FT-025"", ""text"": ""retry after from lease by limiter type""}]"
RS-069,RIU-069,image-9f0d3167e4903520381ca2734bdb0256f5b3ee68,2c81cfaf013ba0ce01b0ae8ac6562cd1541628eba647504a22c6361221e4d2ad,10743.03122812524,5261.002979645209,667.0,482.0,781,565,R06,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-069__2c81cfaf01.png,IDistributedCache strengths and why it is a poor fit for atomic rate counters.,"[{""text_id"": ""FT-035"", ""text"": ""this is about data being lost,""}, {""text_id"": ""FT-036"", ""text"": ""multiple concurrent requests""}, {""text_id"": ""FT-037"", ""text"": ""one gets  5""}, {""text_id"": ""FT-038"", ""text"": ""another sets  5 +1""}, {""text_id"": ""FT-042"", ""text"": ""stampede protection,""}]"
RS-070,RIU-070,image-cd8be72a792655ad50332c3b049e31b4cd077769,682cf03d17f9cee862e6050b6a950b2385208942a944feefa7213c3c49847ade,8825.748110191464,5382.039459860362,911.0,210.0,911,210,R02,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-070__682cf03d17.png,Global limiter plus endpoint-specific policies.,"[{""text_id"": ""FT-033"", ""text"": ""atomic counters, race conditions with idatabase""}, {""text_id"": ""FT-035"", ""text"": ""this is about data being lost,""}, {""text_id"": ""FT-036"", ""text"": ""multiple concurrent requests""}, {""text_id"": ""FT-037"", ""text"": ""one gets  5""}, {""text_id"": ""FT-034"", ""text"": ""and idistributedcache""}]"
RS-071,RIU-071,image-427b4f1eadc797d84e8110b3741dea6023492eef,f6c306ccae3dd3cbef6802dbcc8474aeceb16bbdc604bc2301bc08d9b4ff70fa,5244.195631763545,5478.138161287063,794.0,546.0,939,646,R02,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-071__f6c306ccae.png,Global partitioned limiter code.,"[{""text_id"": ""FT-031"", ""text"": ""applying limiters via attributes""}, {""text_id"": ""FT-030"", ""text"": ""multiple limiters for one policy""}, {""text_id"": ""FT-029"", ""text"": ""global limiter""}, {""text_id"": ""FT-027"", ""text"": ""so the most secure approaches""}, {""text_id"": ""FT-028"", ""text"": ""per ip attempts""}]"
RS-072,RIU-072,image-fb5094430656bf2d3fea41191c5eb354b7f56d34,239c25e5c3bee81c92f7f93f2246f9e951a8306b0c97721ba183e99c2d4e1009,3058.004839422825,5712.099455141333,938.0,466.0,938,466,R01,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-072__239c25e5c3.png,Possible lease metadata fields and their optional nature.,"[{""text_id"": ""FT-032"", ""text"": ""what lease CAN include, how to discover it""}, {""text_id"": ""FT-031"", ""text"": ""applying limiters via attributes""}, {""text_id"": ""FT-030"", ""text"": ""multiple limiters for one policy""}, {""text_id"": ""FT-029"", ""text"": ""global limiter""}, {""text_id"": ""FT-025"", ""text"": ""retry after from lease by limiter type""}]"
RS-073,RIU-073,image-4818ccb55838440e01d9c0c3f74a426f58a3bfd0,f68c14119526c5002684370da0ac0984d9700c0452a9dde2135562a7be14f007,10667.299751898336,5744.180416118421,801.0,482.0,849,511,R06,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-073__f68c141195.png,Decision guide for StackExchange.Redis versus IDistributedCache.,"[{""text_id"": ""FT-042"", ""text"": ""stampede protection,""}, {""text_id"": ""FT-043"", ""text"": ""1 single instance""}, {""text_id"": ""FT-044"", ""text"": ""2 multiple with redis lock""}, {""text_id"": ""FT-035"", ""text"": ""this is about data being lost,""}, {""text_id"": ""FT-036"", ""text"": ""multiple concurrent requests""}]"
RS-074,RIU-074,image-4a75181cc8050f2d16fc97d4c176394bbfa6f18c,52794f12617813cad133e95f03e1d348de924d0e55bf67f86e482319b3a7f9d0,5247.5119497547585,6039.823845145265,717.0,430.0,921,552,R02,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-074__52794f1261.png,Chaining multiple limiters so all must succeed.,"[{""text_id"": ""FT-031"", ""text"": ""applying limiters via attributes""}, {""text_id"": ""FT-030"", ""text"": ""multiple limiters for one policy""}, {""text_id"": ""FT-029"", ""text"": ""global limiter""}, {""text_id"": ""FT-027"", ""text"": ""so the most secure approaches""}, {""text_id"": ""FT-028"", ""text"": ""per ip attempts""}]"
RS-075,RIU-075,image-a863ca97a5148f29f4e20e70de8fa1ecfb4d2666,3e768f7f0cfac4b271dfc3ac0a2bd2ece08c062d8a19b56e0483b99c040591df,3099.5605340029033,6189.615444899051,922.0,459.0,922,459,R01,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-075__3e768f7f0c.png,What ASP.NET Core exposes through RateLimitLease metadata.,"[{""text_id"": ""FT-032"", ""text"": ""what lease CAN include, how to discover it""}, {""text_id"": ""FT-031"", ""text"": ""applying limiters via attributes""}, {""text_id"": ""FT-030"", ""text"": ""multiple limiters for one policy""}, {""text_id"": ""FT-029"", ""text"": ""global limiter""}, {""text_id"": ""FT-025"", ""text"": ""retry after from lease by limiter type""}]"
RS-076,RIU-076,image-4b31316a88d438ca6f3ad17535df57ccef560813,bd2a84b1c017e416542f2669caae4dff99e96f5a2b267942c2d04b14f9b197c0,10704.00940853484,6213.747107435216,868.0,424.0,868,424,R06,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-076__bd2a84b1c0.png,"Shared Redis mental model: multiplexer, IDatabase, and IDistributedCache.","[{""text_id"": ""FT-042"", ""text"": ""stampede protection,""}, {""text_id"": ""FT-043"", ""text"": ""1 single instance""}, {""text_id"": ""FT-044"", ""text"": ""2 multiple with redis lock""}, {""text_id"": ""FT-041"", ""text"": """"}, {""text_id"": ""FT-040"", ""text"": ""we have 6 instead of 7""}]"
RS-077,RIU-077,image-3fbcd7914901abbf57587c2a3aba9dbb0c73c533,545c0f917a6a9bddd3a92bda2be4c51b22c8ae6e52586479f0ab6449043ab8c2,8777.756284784951,6390.502213687245,920.0,417.0,920,417,R07,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-077__545c0f917a.png,Atomic counter and transaction flow with IDatabase.,"[{""text_id"": ""FT-041"", ""text"": """"}, {""text_id"": ""FT-040"", ""text"": ""we have 6 instead of 7""}, {""text_id"": ""FT-039"", ""text"": ""the first sets 5 + 1""}, {""text_id"": ""FT-038"", ""text"": ""another sets  5 +1""}, {""text_id"": ""FT-037"", ""text"": ""one gets  5""}]"
