source_id,image_use_id,fileId_short,symbol_id,region,x,y,width,height,source_width,source_height,sha256_12,nearest_labels,path
S-120,IU-120,7a05901695,image-7a05901695325e098790266fcb6babb5e60aff62,R02,6116.534164742032,10384.841069277943,909.0,204.0,909,204,8ab492910e0c,drop the table | temporary table | custom idatareader,source/images/7a05901695.png
S-121,IU-121,523785c2a9,image-523785c2a9ba1d68ef94f1c87a1501c2985a7389,R02,5062.157904226155,10388.810209722731,982.0,475.0,982,475,705314f861e2,temporary table | drop the table,source/images/523785c2a9.png
S-122,IU-122,cc0ab4adc6,image-cc0ab4adc6332da27b904c7b973b250b47909744,R03,10075.673813211706,10478.253780039571,968.0,355.0,968,355,6a69189001b7,one pass processing less felxible | harder retry beh,source/images/cc0ab4adc6.png
S-123,IU-123,5c7def034b,image-5c7def034b30b42b82031f62fe0a25adb08d4dac,R02,3442.6779413755557,10536.42140530849,986.0,468.0,986,468,812de612a60f,batch cleanup | clean up idexes?,source/images/5c7def034b.png
S-124,IU-124,1625d8fe57,image-1625d8fe57313eb0d1f6fa83dade89afaf90f5ac,R03,8673.03680716491,10785.275416518061,947.0,323.0,947,323,8925e74a3692,"custom readers,one read | custom idatareader",source/images/1625d8fe57.png
S-125,IU-125,37e5cb1e54,image-37e5cb1e54193f1772e6a4bc22ffd735ad14bed5,R02,5073.2685973880125,11003.931964390522,839.0,482.0,966,555,cfb0102f9803,temporary table,source/images/37e5cb1e54.png
S-126,IU-126,bd2882a17e,image-bd2882a17e8dc6b76ffbf54dd6df61004c6390c3,R02,3456.025750782097,11015.93184232021,722.0,482.0,964,644,aebcfec204c0,clean up idexes?,source/images/bd2882a17e.png
S-127,IU-127,0c4ef2bbd1,image-0c4ef2bbd1c1af3e18e16baf898eac2ff76bc8eb,R02,5985.344323211493,11020.254840367084,778.0,167.0,778,167,3c73116088be,"temporary table | drop the table | keep failed rows,delete successfull",source/images/0c4ef2bbd1.png
S-128,IU-128,8e065c81b5,image-8e065c81b53a0fafcff8ec9260a770565030a562,R03,10070.22951796431,11230.531673105977,946.0,454.0,946,454,f48a93c1fa77,may be not faster for small//medium | one pass processing less felxible,source/images/8e065c81b5.png
S-129,IU-129,87c78b16e7,image-87c78b16e7ccbeb41bc136fb4607c834feb7d07c,R03,8693.464847860652,11336.321116437173,983.0,339.0,983,339,55ec2b60f88d,"can use dbdatareader from | custom readers,one read | may be not faster for small//medium",source/images/87c78b16e7.png
S-130,IU-130,528ee15b43,image-528ee15b4327cceff52f2c82ec98a38575e08914,R02,5074.177331023993,11490.088214390522,923.0,390.0,923,390,ef9ba99d728c,"keep failed rows,delete successfull | temporary table",source/images/528ee15b43.png
S-131,IU-131,99b4269a3c,image-99b4269a3c1cf3a497f902e25a7a77463e0f89c8,R02,3477.0556911812746,11597.629771702534,637.0,376.0,961,568,4d29bf4f070b,clean up idexes?,source/images/99b4269a3c.png
S-132,IU-132,0242aa72d7,image-0242aa72d7027fe05cd6ef2494011499e7969655,R03,10072.143668104534,11810.597611419778,895.0,482.0,965,520,d378f858fa7c,may be not faster for small//medium,source/images/0242aa72d7.png
S-133,IU-133,3ee6c29c3e,image-3ee6c29c3ed28c3378c70f3ed3a51d40efa4a055,R02,5080.677453094306,11873.75490140224,862.0,324.0,862,324,08d805e231f2,"keep failed rows,delete successfull",source/images/3ee6c29c3e.png
S-134,IU-134,b89b112e3a,image-b89b112e3ad1613d9b43b9c6a48475b6d23f61fb,R03,8675.492550599536,12012.57393488744,1014.0,478.0,1014,478,5829d4b5b9e0,"can use dbdatareader from | may be not faster for small//medium | custom readers,one read",source/images/b89b112e3a.png
S-135,IU-135,0d7e2d93ad,image-0d7e2d93ada1fdae5ede914ef9a6238760453946,R02,3471.01120858747,12013.34542509594,765.0,223.0,987,288,29b0e8024b8d,clean up idexes?,source/images/0d7e2d93ad.png
S-136,IU-136,1d2f9bdb95,image-1d2f9bdb958d6c56cc0b841561b04c6df34181ff,R02,5086.398484257053,12283.931964390522,797.0,482.0,962,582,6a8b2e6014b1,"move errors to separate | keep failed rows,delete successfull",source/images/1d2f9bdb95.png
S-137,IU-137,fa674607c2,image-fa674607c29f8e717b5ce5d32b4a6a4f4c224776,R02,5118.510827117743,13031.254840367084,989.0,105.0,989,105,eb01e0a823c1,move errors to separate,source/images/fa674607c2.png
S-138,IU-138,daf5d6cd3b,image-daf5d6cd3bfab3f30ba4991164dc95170677daa5,R02,5115.773916845152,13166.598590367084,813.0,482.0,934,554,5794237ce3f3,move errors to separate,source/images/daf5d6cd3b.png
